applicant_gen2, cited_patent_gen2, citing_applicant_gen2, citing_patents_gen2, ipc_current, title_original
"CARIBOU BIOSCIENCES INC","CN103224947A; CN103233028A; CN103343120A; EP2292731A1; EP2341149A1; EP2489275A1; EP2674501A1; US20020119570A1; US20020182673A1; US20030003547A1; US20030232410A1; US20040111221A1; US20050026157A1; US20050208489A1; US20060147980A1; US20060199190A1; US20060253913A1; US20070016012A1; US20070134796A1; US20070218528A1; US20080124725A1; US20080159996A1; US20090227029A1; US20100034924A1; US20100047805A1; US20100055728A1; US20100076057A1; US20100093617A1; US20100104690A1; US20110002889A1; US20110041195A1; US20110082093A1; US20110105364A1; US20110145940A1; US20110182867A1; US20110189776A1; US20110203012A1; US20110207221A1; US20110217739A1; US20110223638A1; US20110236530A1; US20110287545A1; US20110294114A1; US20110300538A1; US20110301073A1; US20120029891A1; US20120149115A1; US20120192298A1; US20120196370A1; US20120230971A1; US20120324603A1; US20130011828A1; US20130017541A1; US20130065310A1; US20130130248A1; US20130145497A1; US20130158245A1; US20130253040A1; US20130288251A1; US20130326645A1; US20130326725A1; US20130330778A1; US20140017212A1; US20140017214A1; US20140045176A1; US20140068797A1; US20140080216A1; US20140090112A1; US20140090113A1; US20140090116A1; US20140112896A1; US20140123330A1; US20140127752A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140242664A1; US20140242699A1; US20140287938A1; US20140294773A1; US20140302563A1; US20140310830A1; US20140315985A1; US20140342458A1; US20140357530A1; US20150020223A1; US20150024499A1; US20150031134A1; US20150079681A1; US20150152398A1; US20150184139A1; US20150203872A1; US20150232882A1; US20150232883A1; US20150247150A1; US20150284697A1; US5034506A; US5489677A; US5602240A; US5766900A; US5767367A; US5968738A; US6066476A; US6306610B1; US7919277B2; US8361725B2; US8546553B2; US8685737B2; US8697359B1; US8771945B1; US8795965B2; US8865406B2; US8871445B2; US8889356B2; US8889418B2; US8895308B1; US8906616B2; US8921332B2; US8932814B2; US8945839B2; US8993233B2; US8999641B2; US9023649B2; US9260752B1; WO1988008450A1; WO1993019191A1; WO2002034771A2; WO2002034771A3; WO2006073445A2; WO2007025097A2; WO2007136815A2; WO2007144770A2; WO2008108989A2; WO2009115861A2; WO2010011961A2; WO2010054108A2; WO2010054154A2; WO2010066907A1; WO2010075424A2; WO2010117464A1; WO2010125471A2; WO2011011767A1; WO2011143124A2; WO2011156430A2; WO2012012738A1; WO2012054726A1; WO2012164565A1; WO2013044008A2; WO2013082519A2; WO2013088446A1; WO2013098244A1; WO2013126794A1; WO2013130824A1; WO2013141680A1; WO2013142578A1; WO2013155572A1; WO2013160230A1; WO2013169398A2; WO2013169802A1; WO2013176772A1; WO2013181440A1; WO2013186754A2; WO2013186754A3; WO2013188522A2; WO2013188638A2; WO2013192278A1; WO2014011237A1; WO2014011901A2; WO2014018423A2; WO2014039684A1; WO2014039692A2; WO2014039702A2; WO2014039872A1; WO2014059255A1; WO2014065596A1; WO2014071006A1; WO2014089290A1; WO2014093595A1; WO2014093622A2; WO2014093635A1; WO2014093655A2; WO2014093661A2; WO2014093694A1; WO2014093701A1; WO2014093709A1; WO2014093712A1; WO2014093718A1; WO2014099744A1; WO2014099750A2; WO2014104878A1; WO2014113493A1","CARIBOU BIOSCIENCES INC; POSEIDA THERAPEUTICS INC","US10131885B2; US9809814B1; US9909122B2","A61K-0038/46; C12N-0009/22; C12N-0015/10; C12N-0015/11; C12N-0015/113; C12N-0015/52; C12N-0015/85; C12N-0015/90; C12Q-0001/68","Compositions and methods of nucleic acid-targeting nucleic acids"
"PIONEER HI-BRED INTERNATIONAL INC","US20140068797A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140248702A1; US20140256046A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140310830A1; US20140335620A1; US20140357530A1; US20150059010A1; US20150079681A1; US8697359B1; US8771945B1; US8795965B2; US8865406B2; US8871445B2; US8889356B2; US8889418B2; US8895308B1; US8906616B2; US8932814B2; US8945839B2; US8993233B2; US8999641B2; WO2011143124A2; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2014018423A2; WO2014093712A1; WO2014144761A2; WO2014150624A1; WO2015026885A1","","","C12N-0015/63; C12N-0015/70; C12N-0015/74; C12N-0015/79; C12N-0015/82; C12N-0015/85; C12N-0015/90","CRISPR hybrid DNA/RNA polynucleotides and methods of use"
"DENALI THERAPEUTICS INC.,US","US20130318643A1; US20140041062A1; US20140170753A1; US20160050895A1; US20160257974A1; US5898094A; US6175057B1; US8476485B2; US9005973B2; US9045763B2; WO2004094647A2; WO2014189973A2; WO2016081643A1","","","A01K-0067/027; C07K-0014/705; C12N-0005/10; C12N-0015/63; G01N-0033/68","TRANSFERRIN RECEPTOR TRANSGENIC MODELS | MODÈLES TRANSGÉNIQUES DE RÉCEPTEUR DE TRANSFERRINE"
"HANLEY Brian P.,US","US20010008881A1; US20070280925A1; US20100003288A1; US20100196401A1; US20100263065A1; US20100285111A1; US20130053415A1; US20130315940A1; US20140170753A1; US20140336245A1; WO1996012406A1; WO2015035190A1","HARVARD COLLEGE","US10113163B2; US9999671B2","A01H-0001/00; A01K-0067/027; A61K-0031/7088; A61K-0031/7105","SAFE DELIVERY OF CRISPR AND OTHER GENE THERAPIES TO LARGE FRACTIONS OF SOMATIC CELLS IN HUMANS AND ANIMALS | ADMINISTRATION SÉCURISÉE DE THÉRAPIES CRISPR ET AUTRES THÉRAPIES GÉNIQUES À D'IMPORTANTES FRACTIONS DE CELLULES SOMATIQUES CHEZ L'HOMME ET L'ANIMAL"
"AGILENT TECHNOLOGIES INC","CN103388006A; US20140170753A1; US20140273226A1; US20140273233A1; US20150071900A1; WO1989002439A1; WO1995006731A2; WO1995011910A1; WO2013176772A1; WO2014144592A2; WO2014144761A2","","","C12N-0009/22; C12N-0015/00; C12N-0015/10; C12N-0015/113; C12N-0015/90","CIS-blocked guide RNA"
"General Hospital Corporation","US20100076057A1; US20110189776A1; US20110223638A1; US20130130248A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140199767A1; US20140201857A1; US20140212869A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140242702A1; US20140248702A1; US20140256046A1; US20140271987A1; US20140273230A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140287938A1; US20140294773A1; US20140295556A1; US20140298547A1; US20140304853A1; US20140309487A1; US20140310828A1; US20140310830A1; US20140315985A1; US20140335063A1; US20140335620A1; US20140349400A1; US20140357530A1; US20140377868A1; US20150024500A1; US20150031134A1; US20150045546A1; US20150050699A1; US20150071899A1; US8697359B1; WO2008108989A2; WO2010054108A2; WO2012164565A1; WO2013098244A1; WO2013176772A1; WO2014124284A1; WO2014152432A2","","","A61K-0038/00; C12N-0009/22; C12N-0015/90","Engineered CRISPR-CAS9 nucleases with altered PAM specificity"
"PIONEER HI-BRED INTERNATIONAL INC","US20140068797A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140248702A1; US20140256046A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140310830A1; US20140335620A1; US20140357530A1; US20150059010A1; US20150079681A1; US8697359B1; US8771945B1; US8795965B2; US8865406B2; US8871445B2; US8889356B2; US8889418B2; US8895308B1; US8906616B2; US8932814B2; US8945839B2; US8993233B2; US8999641B2; WO2011143124A2; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2014018423A2; WO2014093712A1; WO2014144761A2; WO2014150624A1; WO2015026885A1","","","C07H-0021/00; C12N-0009/16; C12N-0009/22; C12N-0015/11; C12N-0015/63; C12N-0015/90; C12Q-0001/68","CRISPR hybrid DNA/RNA polynucleotides and methods of use"
"General Hospital Corporation","CN103224947A; CN103233028A; CN103343120A; EP2325332A1; US20020160940A1; US20020164575A1; US20060199190A1; US20070020627A1; US20080124725A1; US20080193470A1; US20100034924A1; US20100055793A1; US20100076057A1; US20100093617A1; US20100104690A1; US20100120043A1; US20100183559A1; US20100184624A1; US20100209998A1; US20100209999A1; US20100221185A1; US20100311061A1; US20100317116A1; US20110002889A1; US20110092381A1; US20110143348A1; US20110150852A1; US20110171647A1; US20110189674A1; US20110189776A1; US20110201007A1; US20110201118A1; US20110217739A1; US20110217791A1; US20110223638A1; US20110236530A1; US20110236894A1; US20110269119A1; US20110300528A1; US20110300538A1; US20120027786A1; US20120088676A1; US20120151635A1; US20120214160A1; US20130011516A1; US20130011828A1; US20130130248A1; US20130145497A1; US20130150240A1; US20130158245A1; US20130253040A1; US20130288251A1; US20130326645A1; US20130326725A1; US20130330778A1; US20130337454A1; US20140068797A1; US20140093941A1; US20140113376A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140199767A1; US20140201857A1; US20140212869A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140242702A1; US20140248702A1; US20140256046A1; US20140271987A1; US20140273037A1; US20140273226A1; US20140273230A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140273235A1; US20140287938A1; US20140294773A1; US20140295556A1; US20140295557A1; US20140298547A1; US20140304853A1; US20140309487A1; US20140310828A1; US20140310830A1; US20140315985A1; US20140335063A1; US20140335620A1; US20140349400A1; US20140356867A1; US20140356958A1; US20140357530A1; US20140377868A1; US20150020223A1; US20150024499A1; US20150024500A1; US20150031134A1; US20150044772A1; US20150045546A1; US20150050699A1; US20150056629A1; US20150067922A1; US20150071899A1; US20150079681A1; US20150093473A1; US20150159174A1; US20150159175A1; US20150166969A1; US20150167000A1; US20150176064A1; US20150184139A1; US20150191744A1; US20150203872A1; US20150232882A1; US20150232883A1; US20150247150A1; US20150252358A1; US20150291965A1; US20150315576A1; US20150356239A1; US20150376652A1; US20160010147A1; US20160017301A1; US20160017366A1; US20160024510A1; US20160024523A1; US20160024524A1; US20160024529A1; US20160312198A1; US20160362688A1; US4603044A; US4957773A; US5436150A; US6007988A; US6013453A; US6503717B2; US6511808B2; US7021555B2; US7220719B2; US7914796B2; US7919277B2; US8034598B2; US8071370B2; US8252535B2; US8282920B2; US8361725B2; US8697359B1; US8771986B2; US8865406B2; US8962281B2; US8993233B2; US9023649B2; US9074199B1; US9322037B2; WO2003072788A1; WO2004099366A2; WO2007014275A2; WO2007025097A2; WO2008108989A2; WO2010054108A2; WO2011017293A2; WO2011143124A2; WO2012093833A2; WO2012164565A1; WO2013012674A1; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2013169398A2; WO2013176772A1; WO2014059255A1; WO2014089290A1; WO2014093655A2; WO2014099744A1; WO2014124284A1; WO2014127287A1; WO2014144288A1; WO2014144592A2; WO2014144761A2; WO2014152432A2; WO2014204578A1; WO2015035162A2; WO2015089364A1; WO2015099850A1; WO2015153940A1; WO2016115355A1","","","C07K-0014/005; C07K-0014/195; C12N-0009/02; C12N-0009/10; C12N-0009/16; C12N-0009/22; C12N-0009/96; C12N-0015/04; C12N-0015/10; C12N-0015/63; C12N-0015/85; C12N-0015/90","Using RNA-guided FokI nucleases (RFNs) to increase specificity for RNA-guided genome editing"
"General Hospital Corporation","US20100076057A1; US20110189776A1; US20110223638A1; US20130130248A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140199767A1; US20140201857A1; US20140212869A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140242702A1; US20140248702A1; US20140256046A1; US20140271987A1; US20140273230A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140287938A1; US20140294773A1; US20140295556A1; US20140298547A1; US20140304853A1; US20140309487A1; US20140310828A1; US20140310830A1; US20140315985A1; US20140335063A1; US20140335620A1; US20140349400A1; US20140357530A1; US20140377868A1; US20150024500A1; US20150031134A1; US20150045546A1; US20150050699A1; US20150071899A1; US8697359B1; US9322037B2; WO2008108989A2; WO2010054108A2; WO2012164565A1; WO2013098244A1; WO2013176772A1; WO2014124284A1; WO2014152432A2; WO2015200378A1","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","Engineered CRISPR-CAS9 nucleases with altered PAM specificity"
"CARIBOU BIOSCIENCES INC","CN103224947A; CN103233028A; CN103343120A; EP2292731A1; EP2341149A1; EP2489275A1; EP2674501A1; US20020119570A1; US20020182673A1; US20030003547A1; US20030232410A1; US20040111221A1; US20050026157A1; US20050208489A1; US20060147980A1; US20060199190A1; US20060253913A1; US20070016012A1; US20070134796A1; US20070218528A1; US20080124725A1; US20080159996A1; US20090227029A1; US20100034924A1; US20100047805A1; US20100055728A1; US20100076057A1; US20100093617A1; US20100104690A1; US20110002889A1; US20110041195A1; US20110082093A1; US20110105364A1; US20110145940A1; US20110182867A1; US20110189776A1; US20110203012A1; US20110207221A1; US20110217739A1; US20110223638A1; US20110236530A1; US20110287545A1; US20110294114A1; US20110300538A1; US20110301073A1; US20120029891A1; US20120149115A1; US20120192298A1; US20120196370A1; US20120230971A1; US20120324603A1; US20130011828A1; US20130017541A1; US20130065310A1; US20130130248A1; US20130145497A1; US20130158245A1; US20130253040A1; US20130288251A1; US20130326645A1; US20130326725A1; US20130330778A1; US20140017212A1; US20140017214A1; US20140045176A1; US20140068797A1; US20140080216A1; US20140090112A1; US20140090113A1; US20140090116A1; US20140112896A1; US20140123330A1; US20140127752A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140242664A1; US20140242699A1; US20140287938A1; US20140294773A1; US20140302563A1; US20140310830A1; US20140315985A1; US20140342458A1; US20140357530A1; US20150020223A1; US20150024499A1; US20150031134A1; US20150079681A1; US20150152398A1; US20150184139A1; US20150203872A1; US20150232882A1; US20150232883A1; US20150247150A1; US20150284697A1; US20160251640A1; US20160312280A1; US5034506A; US5489677A; US5602240A; US5766900A; US5767367A; US5968738A; US6066476A; US6306610B1; US7919277B2; US8129149B1; US8361725B2; US8546553B2; US8685737B2; US8697359B1; US8771945B1; US8795965B2; US8865406B2; US8871445B2; US8889356B2; US8889418B2; US8895308B1; US8906616B2; US8921332B2; US8932814B2; US8945839B2; US8993233B2; US8999641B2; US9023649B2; US9260752B1; US9410198B2; US9725714B2; WO1988008450A1; WO1993019191A1; WO2002034771A2; WO2002034771A3; WO2006073445A2; WO2007025097A2; WO2007136815A2; WO2007144770A2; WO2008108989A2; WO2009115861A2; WO2010011961A2; WO2010054108A2; WO2010054154A2; WO2010066907A1; WO2010075424A2; WO2010117464A1; WO2010125471A2; WO2011011767A1; WO2011143124A2; WO2011156430A2; WO2012012738A1; WO2012054726A1; WO2012164565A1; WO2013044008A2; WO2013082519A2; WO2013088446A1; WO2013098244A1; WO2013126794A1; WO2013130824A1; WO2013141680A1; WO2013142578A1; WO2013155572A1; WO2013160230A1; WO2013169398A2; WO2013169802A1; WO2013176772A1; WO2013181440A1; WO2013186754A2; WO2013186754A3; WO2013188522A2; WO2013188638A2; WO2013192278A1; WO2014011237A1; WO2014011901A2; WO2014018423A2; WO2014039684A1; WO2014039692A2; WO2014039702A2; WO2014039872A1; WO2014059255A1; WO2014065596A1; WO2014071006A1; WO2014089290A1; WO2014093595A1; WO2014093622A2; WO2014093635A1; WO2014093655A2; WO2014093661A2; WO2014093694A1; WO2014093701A1; WO2014093709A1; WO2014093712A1; WO2014093718A1; WO2014099744A1; WO2014099750A2; WO2014104878A1; WO2014113493A1","","","A61K-0038/46; A61K-0047/54; A61K-0047/64; C12N-0009/22; C12N-0015/10; C12N-0015/11; C12N-0015/113; C12N-0015/52; C12N-0015/85; C12N-0015/90; C12Q-0001/68","Compositions and methods of nucleic acid-targeting nucleic acids"
"General Hospital Corporation","CN103224947A; CN103233028A; CN103343120A; EP2325332A1; US20020160940A1; US20020164575A1; US20060199190A1; US20070020627A1; US20080124725A1; US20080193470A1; US20100034924A1; US20100055793A1; US20100076057A1; US20100093617A1; US20100104690A1; US20100120043A1; US20100183559A1; US20100184624A1; US20100209998A1; US20100209999A1; US20100221185A1; US20100311061A1; US20100317116A1; US20110002889A1; US20110092381A1; US20110143348A1; US20110150852A1; US20110171647A1; US20110189674A1; US20110189776A1; US20110201007A1; US20110201118A1; US20110217739A1; US20110217791A1; US20110223638A1; US20110236530A1; US20110236894A1; US20110269119A1; US20110300528A1; US20110300538A1; US20120027786A1; US20120088676A1; US20120151635A1; US20120214160A1; US20130011516A1; US20130011828A1; US20130130248A1; US20130145497A1; US20130150240A1; US20130158245A1; US20130253040A1; US20130288251A1; US20130326645A1; US20130326725A1; US20130330778A1; US20130337454A1; US20140068797A1; US20140093941A1; US20140113376A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140199767A1; US20140201857A1; US20140212869A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140242702A1; US20140248702A1; US20140256046A1; US20140271987A1; US20140273037A1; US20140273226A1; US20140273230A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140273235A1; US20140287938A1; US20140294773A1; US20140295556A1; US20140295557A1; US20140298547A1; US20140304853A1; US20140309487A1; US20140310828A1; US20140310830A1; US20140315985A1; US20140335063A1; US20140335620A1; US20140349400A1; US20140356867A1; US20140356958A1; US20140357530A1; US20140377868A1; US20150020223A1; US20150024499A1; US20150024500A1; US20150031134A1; US20150044772A1; US20150045546A1; US20150050699A1; US20150056629A1; US20150067922A1; US20150071899A1; US20150079681A1; US20150093473A1; US20150159174A1; US20150159175A1; US20150166969A1; US20150167000A1; US20150176064A1; US20150184139A1; US20150191744A1; US20150203872A1; US20150232882A1; US20150232883A1; US20150247150A1; US20150252358A1; US20150291965A1; US20150315576A1; US20150356239A1; US20150376652A1; US20160010076A1; US20160017301A1; US20160017366A1; US20160024510A1; US20160024523A1; US20160024524A1; US20160024529A1; US20160312198A1; US4603044A; US4957773A; US5436150A; US6007988A; US6013453A; US6503717B2; US6511808B2; US7021555B2; US7220719B2; US7914796B2; US7919277B2; US8034598B2; US8071370B2; US8252535B2; US8282920B2; US8361725B2; US8697359B1; US8771986B2; US8865406B2; US8962281B2; US8993233B2; US9023649B2; US9074199B1; US9322037B2; WO2003072788A1; WO2004099366A2; WO2007014275A2; WO2007025097A2; WO2008108989A2; WO2010054108A2; WO2011017293A2; WO2011143124A2; WO2012093833A2; WO2012164565A1; WO2013012674A1; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2013169398A2; WO2013176772A1; WO2014059025A1; WO2014089290A1; WO2014093655A2; WO2014099744A1; WO2014124284A1; WO2014127287A1; WO2014144288A1; WO2014144592A2; WO2014144761A2; WO2014152432A2; WO2014204578A1; WO2014590255A1; WO2015035162A2; WO2015089364A1; WO2015099850A1; WO2016115355A1","","","C12N-0009/16; C12N-0009/22; C12N-0015/90","Engineered CRISPR-Cas9 nucleases"
"General Hospital Corporation","CN103224947A; CN103233028A; CN103343120A; EP2325332A1; US20020160940A1; US20020164575A1; US20060199190A1; US20070020627A1; US20080124725A1; US20080193470A1; US20100034924A1; US20100055793A1; US20100076057A1; US20100093617A1; US20100104690A1; US20100120043A1; US20100183559A1; US20100184624A1; US20100209998A1; US20100209999A1; US20100221185A1; US20100311061A1; US20100317116A1; US20110002889A1; US20110092381A1; US20110143348A1; US20110150852A1; US20110171647A1; US20110189674A1; US20110189776A1; US20110201007A1; US20110201118A1; US20110217739A1; US20110217791A1; US20110223638A1; US20110236530A1; US20110236894A1; US20110269119A1; US20110300528A1; US20110300538A1; US20120027786A1; US20120088676A1; US20120151635A1; US20120214160A1; US20130011516A1; US20130011828A1; US20130130248A1; US20130145497A1; US20130150240A1; US20130158245A1; US20130253040A1; US20130288251A1; US20130326645A1; US20130326725A1; US20130330778A1; US20130337454A1; US20140068797A1; US20140093941A1; US20140113376A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140199767A1; US20140201857A1; US20140212869A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140242702A1; US20140248702A1; US20140256046A1; US20140271987A1; US20140273037A1; US20140273226A1; US20140273230A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140273235A1; US20140287938A1; US20140294773A1; US20140295556A1; US20140298547A1; US20140304853A1; US20140309487A1; US20140310828A1; US20140310830A1; US20140315985A1; US20140335063A1; US20140335620A1; US20140349400A1; US20140356867A1; US20140356958A1; US20140357530A1; US20140377868A1; US20150020223A1; US20150024499A1; US20150024500A1; US20150031134A1; US20150044772A1; US20150045546A1; US20150050699A1; US20150056629A1; US20150067922A1; US20150071899A1; US20150079681A1; US20150093473A1; US20150159174A1; US20150159175A1; US20150166969A1; US20150167000A1; US20150176064A1; US20150184139A1; US20150191744A1; US20150203872A1; US20150232882A1; US20150232883A1; US20150247150A1; US20150252358A1; US20150291965A1; US20150315576A1; US20150356239A1; US20150376652A1; US20160010076A1; US20160017301A1; US20160017366A1; US20160024510A1; US20160024523A1; US20160024524A1; US20160024529A1; US4603044A; US4957773A; US5436150A; US6007988A; US6013453A; US6503717B2; US6511808B2; US7021555B2; US7220719B2; US7914796B2; US7919277B2; US8034598B2; US8071370B2; US8252535B2; US8282920B2; US8361725B2; US8697359B1; US8771986B2; US8865406B2; US8962281B2; US8993233B2; US9023649B2; US9074199B1; US9322037B2; WO2003072788A1; WO2004099366A2; WO2007014275A2; WO2007025097A2; WO2008108989A2; WO2010054108A2; WO2011017293A2; WO2011143124A2; WO2012093833A2; WO2012164565A1; WO2013012674A1; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2013169398A2; WO2013176772A1; WO2014089290A1; WO2014093655A2; WO2014099744A1; WO2014124284A1; WO2014127287A1; WO2014144288A1; WO2014144592A2; WO2014144761A2; WO2014152432A2; WO2014204578A1; WO2014590255A1; WO2015035162A2; WO2015099850A1","","","A61K-0048/00; C07H-0021/02; C07K-0014/005; C07K-0014/195; C12N-0009/02; C12N-0009/10; C12N-0009/16; C12N-0009/22; C12N-0009/96; C12N-0015/00; C12N-0015/01; C12N-0015/63; C12N-0015/85","Using truncated guide RNAs (tru-gRNAs) to increase specificity for RNA-guided genome editing"
"General Hospital Corporation","CN103224947A; CN103233028A; CN103343120A; EP2325332A1; US20020160940A1; US20020164575A1; US20060199190A1; US20070020627A1; US20080124725A1; US20080193470A1; US20100034924A1; US20100055793A1; US20100076057A1; US20100093617A1; US20100104690A1; US20100120043A1; US20100183559A1; US20100184624A1; US20100209998A1; US20100209999A1; US20100221185A1; US20100311061A1; US20100317116A1; US20110002889A1; US20110092381A1; US20110143348A1; US20110150852A1; US20110171647A1; US20110189674A1; US20110189776A1; US20110201007A1; US20110201118A1; US20110217739A1; US20110217791A1; US20110223638A1; US20110236530A1; US20110236894A1; US20110269119A1; US20110300528A1; US20110300538A1; US20120027786A1; US20120088676A1; US20120151635A1; US20120214160A1; US20130011516A1; US20130011828A1; US20130130248A1; US20130145497A1; US20130150240A1; US20130158245A1; US20130253040A1; US20130288251A1; US20130326645A1; US20130326725A1; US20130330778A1; US20130337454A1; US20140068797A1; US20140093941A1; US20140113376A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140199767A1; US20140201857A1; US20140212869A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140242702A1; US20140248702A1; US20140256046A1; US20140271987A1; US20140273037A1; US20140273226A1; US20140273230A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140273235A1; US20140287938A1; US20140294773A1; US20140295557A1; US20140298547A1; US20140304853A1; US20140309487A1; US20140310828A1; US20140310830A1; US20140315985A1; US20140335063A1; US20140335620A1; US20140349400A1; US20140356867A1; US20140356958A1; US20140357530A1; US20140377868A1; US20150020223A1; US20150024499A1; US20150024500A1; US20150031134A1; US20150044772A1; US20150045546A1; US20150050699A1; US20150056629A1; US20150067922A1; US20150071899A1; US20150079681A1; US20150093473A1; US20150159174A1; US20150159175A1; US20150166969A1; US20150167000A1; US20150176064A1; US20150184139A1; US20150191744A1; US20150203872A1; US20150232882A1; US20150232883A1; US20150247150A1; US20150252358A1; US20150291965A1; US20150315576A1; US20150356239A1; US20150376652A1; US20160010076A1; US20160017301A1; US20160017366A1; US20160024510A1; US20160024523A1; US20160024524A1; US20160024529A1; US4603044A; US4957773A; US5436150A; US6007988A; US6013453A; US6503717B2; US6511808B2; US7021555B2; US7220719B2; US7914796B2; US7919277B2; US8034598B2; US8071370B2; US8252535B2; US8282920B2; US8361725B2; US8697359B1; US8771986B2; US8865406B2; US8962281B2; US8993233B2; US9023649B2; US9074199B1; US9322037B2; WO2003072788A1; WO2004099366A2; WO2007014275A2; WO2007025097A2; WO2008108989A2; WO2010054108A2; WO2011017293A2; WO2011143124A2; WO2012093833A2; WO2012164565A1; WO2013012674A1; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2013169398A2; WO2013176772A1; WO2014059255A1; WO2014089290A1; WO2014093655A2; WO2014099744A1; WO2014124284A1; WO2014127287A1; WO2014144288A1; WO2014144592A2; WO2014144761A2; WO2014152432A2; WO2014204578A1; WO2015035162A2; WO2015089364A1; WO2015099850A1","","","C07K-0014/005; C07K-0014/195; C12N-0009/02; C12N-0009/10; C12N-0009/16; C12N-0009/22; C12N-0009/96; C12N-0015/01; C12N-0015/63; C12N-0015/85","Using RNA-guided FokI nucleases (RFNs) to increase specificity for RNA-guided genome editing"
"PIONEER HI-BRED INTERNATIONAL INC","US20140068797A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140248702A1; US20140256046A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140310830A1; US20140335620A1; US20140357530A1; US20150059010A1; US20150079681A1; US8697359B1; US8771945B1; US8795965B2; US8865406B2; US8871445B2; US8889356B2; US8889418B2; US8895308B1; US8906616B2; US8932814B2; US8945839B2; US8993233B2; US8999641B2; WO2011143124A2; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2014018423A2; WO2014093712A1; WO2014144761A2; WO2014150624A1; WO2015026885A1","","","C07H-0021/00; C12N-0009/16; C12N-0009/22; C12N-0015/11; C12N-0015/63; C12N-0015/90; C12Q-0001/68","CRISPR hybrid DNA/RNA polynucleotides and methods of use"
