Publication Number, first_applicant_citing2
"WO2016187904A1","SHENZHEN SECOND PEOPLE'S HOSPITAL"
"WO2016191684A1","FINER Mitchell H."
"WO2016201047A1","EDITAS MEDICINE INC"
"WO2016205688A3","BOWLES Robert D."
"WO2016210393A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017002004A1","KONINKLIJKE PHILIPS N.V."
"WO2017002012A1","KONINKLIJKE PHILIPS N.V."
"WO2017002067A1","Braun GmbH"
"WO2017004191A1","UNIVERSITY OF MINNESOTA"
"WO2017009486A1","NURITAS LIMITED"
"WO2017009489A1","NURITAS LIMITED"
"WO2017010543A1","THE UNIVERSITY OF TOKYO"
"WO2017024111A1","THE UNIVERSITY OF CHICAGO"
"WO2017024602A1","ZHANGJIAGANG INSTITUTE OF INDUSTRIAL TECHNOLOGIES SOOCHOW UNIVERSITY"
"WO2017029511A1","AUTOLUS LTD"
"WO2017029570A1","KONINKLIJKE PHILIPS N.V."
"WO2017031360A1","ARC BIO LLC"
"WO2017031483A1","APPLIED STEMCELL INC."
"WO2017040348A1","General Hospital Corporation"
"WO2017040511A1","AGILENT TECHNOLOGIES INC"
"WO2017040695A1","RECOMBINETICS INC."
"WO2017040709A1","CARIBOU BIOSCIENCES INC"
"WO2017040793A1","DANA-FARBER CANCER INSTITUTE INC"
"WO2017040813A3","UNIVERSITY OF MASSACHUSETTS"
"WO2017043573A1","NATIONAL UNIVERSITY CORPORATION KOBE UNIVERSITY"
"WO2017044419A1","UNIVERSITY OF MASSACHUSETTS"
"WO2017046747A1","ACERTA PHARMA B.V."
"WO2017049240A1","Regeneron Pharmaceuticals Inc"
"WO2017053312A1","UNIV CALIFORNIA"
"WO2017053713A1","TARVEDA THERAPEUTICS INC."
"WO2017053729A1","STANFORD UNIVERSITY"
"WO2017053762A1","SIGMA-ALDRICH CO LLC"
"WO2017053879A1","EDITAS MEDICINE INC"
"WO2017058751A1","NORTH CAROLINA STATE UNIVERSITY"
"WO2017058793A1","Agenovir Corporation"
"WO2017058795A1","Agenovir Corporation"
"WO2017058796A1","Agenovir Corporation"
"WO2017059241A1","US HEALTH"
"WO2017062605A1","THE CHILDREN'S HOSPITAL OF PHILADELPHIA"
"WO2017062618A1","IOWA STATE UNIVERSITY RESEARCH FOUNDATION INC."
"WO2017062723A1","HARVARD COLLEGE"
"WO2017062983A1","THE CHILDREN'S HOSPITAL OF PHILADELPHIA"
"WO2017064546A1","CRISPR THERAPEUTICS AG"
"WO2017068077A1","INSERM"
"WO2017068120A1","INSERM"
"WO2017070598A1","CARIBOU BIOSCIENCES INC"
"WO2017070632A3","HARVARD COLLEGE"
"WO2017074943A1","STANFORD UNIVERSITY"
"WO2017075147A1","UNIVERSITY OF TEXAS"
"WO2017075475A1","EDITAS MEDICINE INC"
"WO2017075537A1","ALETA BIOTHERAPEUTICS INC."
"WO2017081097A1","IFOM FONDAZIONE ISTITUTO FIRC DI ONCOLOGIA MOLECOLARE"
"WO2017081288A1","LONZA LTD"
"WO2017083368A1","PFIZER INC."
"WO2017083511A1","US HEALTH"
"WO2017083852A1","MOORE Tara"
"WO2017095698A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017096041A1","UNIV CALIFORNIA"
"WO2017096237A1","CERES INC."
"WO2017096328A1","CARIBOU BIOSCIENCES INC"
"WO2017100176A1","CHIMERA BIOENGINEERING INC."
"WO2017100343A1","ARC BIO LLC"
"WO2017100791A1","MASSACHUSETTS EYE AND EAR INFIRMARY"
"WO2017104404A1","JAPAN SCIENCE AND TECHNOLOGY AGENCY"
"WO2017106616A1","UNIV OF COLORADO"
"WO2017109757A1","CRISPR THERAPEUTICS AG"
"WO2017112184A1","BLOODCENTER RESEARCH FOUNDATION"
"WO2017118720A1","NOVOZYMES A/S"
"WO2017121494A1","RIBOXX GMBH"
"WO2017123556A1","STANFORD UNIVERSITY"
"WO2017123559A3","STANFORD UNIVERSITY"
"WO2017123772A1","UNIVERSITY OF MINNESOTA"
"WO2017130223A2","VIROCAN THERAPEUTICS PVT. LTD."
"WO2017130223A3","VIROCAN THERAPEUTICS PVT. LTD."
"WO2017131237A1","BONAC CORPORATION"
"WO2017134529A1","CRISPR THERAPEUTICS AG"
"WO2017136335A1","UNIV CALIFORNIA"
"WO2017136520A1","HARVARD COLLEGE"
"WO2017136764A1","General Hospital Corporation"
"WO2017136794A1","MIT"
"WO2017137585A1","COMBIGENE AB"
"WO2017141109A1","CRISPR THERAPEUTICS AG"
"WO2017142999A3","HARVARD COLLEGE"
"WO2017146767A1","ICELL GENE THERAPEUTICS LLC"
"WO2017147056A1","CARIBOU BIOSCIENCES INC"
"WO2017147432A1","Agenovir Corporation"
"WO2017151444A1","AGILENT TECHNOLOGIES INC"
"WO2017151727A1","NORTH CAROLINA STATE UNIVERSITY"
"WO2017152015A1","EDITAS MEDICINE INC"
"WO2017155408A1","ERASMUS UNIVERSITY MEDICAL CENTER ROTTERDAM"
"WO2017156484A1","BLUEBIRD BIO INC."
"WO2017158422A1","CRISPR THERAPEUTICS AG"
"WO2017159699A1","CHUGAI SEIYAKU KABUSHIKI KAISHA"
"WO2017162797A1","HELMHOLTZ ZENTRUM MUENCHEN"
"WO2017165859A1","RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL"
"WO2017165869A1","TROVAGENE INC."
"WO2017172860A1","HARVARD COLLEGE"
"WO2017173384A1","KITE PHARMA INC."
"WO2017173410A1","AMGEN INC."
"WO2017175072A1","FELDAN BIO INC."
"WO2017180587A3","OBSIDIAN THERAPEUTICS INC."
"WO2017180786A3","PERKINS Edward"
"WO2017180915A3","DUKE UNIVERSITY"
"WO2017183724A1","NATIONAL UNIVERSITY CORPORATION KOBE UNIVERSITY"
"WO2017184534A1","THE GORLIN COMPANIES"
"WO2017185054A1","INTELLIA THERAPEUTICS INC."
"WO2017186815A1","PROQR THERAPEUTICS II B.V."
"WO2017188797A1","UNIV YONSEI"
"WO2017189821A1","Bio-Rad Laboratories Inc."
"WO2017189964A3","VOYAGER THERAPEUTICS INC"
"WO2017190091A1","VINDICO NANOBIOTECHNOLOGY LLC"
"WO2017190096A1","UNIVERSITY OF FLORIDA"
"WO2017192172A1","TEMPLE UNIVERSITY"
"WO2017193053A1","WOOLF Tod M."
"WO2017197027A1","ILLUMINA INC."
"WO2017197147A3","ATKINSON Robert G."
"WO2017205290A1","COLUMBIA UNIVERSITY"
"WO2017205423A1","WASHINGTON UNIVERSITY"
"WO2017205747A1","US HEALTH"
"WO2017205834A1","UNIVERSITY OF ILLINOIS"
"WO2017208247A1","YISSUM RESEARCH DEVELOPMENT"
"WO2017210586A1","Regeneron Pharmaceuticals Inc"
"WO2017211900A1","MAX-DELBRUCK-CENTRUM FUR MOLEKULARE MEDIZIN"
"WO2017212264A1","Oxford Genetics Limited"
"WO2017213896A1","TEMPLE UNIVERSITY"
"WO2017214460A1","AGILENT TECHNOLOGIES INC"
"WO2017214513A1","WHITE DOG LABS INC."
"WO2017215648A1","Peking University"
"WO2017218512A1","GRAIL INC."
"WO2017219033A1","MONTANA STATE UNIVERSITY"
"WO2017220527A1","GLYCOTOPE GMBH"
"WO2017222370A1","KEYGENE N.V."
"WO2017223449A1","HARVARD COLLEGE"
"WO2017223538A1","UNIV OF COLORADO"
"WO2018002762A1","CRISPR THERAPEUTICS AG"
"WO2018002812A1","CRISPR THERAPEUTICS AG"
"WO2018002886A1","CRISPR THERAPEUTICS AG"
"WO2018005289A3","MICROSOFT TECHNOLOGY LICENSING LLC"
"WO2018005445A1","BROAD INSTITUTE INC"
"WO2018005519A3","UNIV CALIFORNIA"
"WO2018009525A1","UNIV JOHNS HOPKINS"
"WO2018009562A1","UNIV JOHNS HOPKINS"
"WO2018009838A1","RUBIUS THERAPEUTICS INC."
"WO2018013558A1","LIFE TECHNOLOGIES CORPORATION"
"WO2018015444A1","NOVOZYMES A/S"
"WO2018020050A1","MAX-PLANCK GESELLSCHAFT"
"WO2018025206A1","KYOTO UNIVERSITY"
"WO2018026872A1","VIROGIN BIOTECH CANADA LTD"
"WO2018026976A1","EDITAS MEDICINE INC"
"WO2018027155A1","MEMORIAL SLOAN KETTERING CANCER CENTER"
"WO2018027197A1","MEMORIAL SLOAN KETTERING CANCER CENTER"
"WO2018030536A1","TOKUSHIMA UNIVERSITY"
"WO2018031683A1","HARVARD COLLEGE"
"WO2018031762A1","DUKE UNIVERSITY"
"WO2018031864A1","UNIVERSITY OF TEXAS"
"WO2018035413A1","THE UAB RESEARCH FOUNDATION"
"WO2018035450A1","EBBU LLC"
"WO2018035466A1","STANFORD UNIVERSITY"
"WO2018035495A1","Whitehead Institute"
"WO2018039471A3","UNIV BOSTON"
"WO2018041119A1","BEIJING BIOCYTOGEN CO. LTD"
"WO2018045034A1","PROMAB BIOTECHNOLOGIES INC."
"WO2018045880A1","GUANGZHOU BAINIFU BIOTECH CO. LTD"
"WO2018048827A1","MIT"
"WO2018049037A1","NDSU RESEARCH FOUNDATION"
"WO2018049187A1","DANA-FARBER CANCER INSTITUTE INC"
"WO2018049273A1","CENTRO DE INVESTIGACIONES ENERGETICAS MEDIOAMBIENTALES Y TECNOLOGICAS"
"WO2018049401A1","UNIVERSITY OF MINNESOTA"
"WO2018052828A1","JANSSEN BIOTECH INC."
"WO2018053037A1","THE JACKSON LABORATORY"
"WO2018053053A1","BROAD INSTITUTE INC"
"WO2018053070A1","INTELLIA THERAPEUTICS INC."
"WO2018053457A1","HARVARD COLLEGE"
"WO2018055577A1","SYNTHENA AG"
"WO2018057782A1","UNIVERSITY OF UTAH RESEARCH FOUNDATION"
"WO2018059549A1","NOVARTIS AG"
"WO2018064371A1","UNIV CALIFORNIA"
"WO2018067886A3","NANTOMICS LLC"
"WO2018067977A1","KANSAS STATE UNIVERSITY RESEARCH FOUNDATION"
"WO2018071868A1","HARVARD COLLEGE"
"WO2018071892A1","JOUNG J. Keith"
"WO2018071898A1","CHILDREN'S MEDICAL CENTER CORPORATION"
"WO2018073237A1","UNIVERSITY OF EDINBURGH"
"WO2018074979A1","NANYANG TECHNOLOGICAL UNIVERSITY"
"WO2018075648A1","DREXEL UNIVERSITY"
"WO2018075664A1","UNIVERSITY OF MINNESOTA"
"WO2018075794A1","CITY OF HOPE"
"WO2018076391A1","LI Huashun"
"WO2018078131A1","GENETHON"
"WO2018078134A1","GENETHON"
"WO2018078218A1","NOKIA TECHNOLOGIES OY"
"WO2018080541A1","SEATTLE CHILDREN' S HOSPITAL"
"WO2018081081A1","HUMANES Javier Gil"
"WO2018081728A1","EMENDOBIO INC."
"WO2018081806A3","UNIVERSITY OF FLORIDA"
"WO2018083204A1","ENGMAB"
"WO2018083347A1","CONSEJO SUPERIOR DE INVESTIG CIENTIFICAS"
"WO2018085586A1","KIEWLICH David"
"WO2018085644A1","YOUHEALTH BIOTECH LIMITED"
"WO2018085693A1","INARI AGRICULTURE INC."
"WO2018085731A3","JUNO THERAPEUTICS INC."
"WO2018086512A1","SHANGAHI INSTITUTES FOR BIOLOGICAL SCIENCES CHINESE ACADEMY OF SCIENCES"
"WO2018086623A1","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"WO2018087113A1","KONINKLIJKE PHILIPS N.V."
"WO2018088635A1","KOREA ADVANCED INSTITUTE OF SCIENCE AND TECHNOLOGY"
"WO2018089437A1","UNIV YALE"
"WO2018089664A1","UNIV CALIFORNIA"
"WO2018092072A1","CELLECTIS"
"WO2018096547A1","YEDA RESEARCH AND DEVELOPMENT CO. LTD."
"WO2018098383A1","INTEGRATED DNA TECHNOLOGIES INC"
"WO2018098480A1","UNIVERSITY OF TEXAS"
"WO2018102131A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2018102612A1","JUNO THERAPEUTICS INC."
"WO2018102786A1","JUNO THERAPEUTICS INC."
"WO2018102816A1","Syngenta Participations"
"WO2018103684A1","HANGZHOU CONVERD CO. LTD."
"WO2018107103A1","BROAD INSTITUTE INC"
"WO2018107129A1","BROAD INSTITUTE INC"
"WO2018110805A1","MGENPLUS CO. LTD."
"WO2018111340A1","NOVARTIS AG"
"WO2018111834A1","SEATTLE CHILDREN' S HOSPITAL"
"WO2018111944A1","Whitehead Institute"
"WO2018111946A1","INTEGRATED DNA TECHNOLOGIES INC"
"WO2018115389A1","KEYGENE N.V."
"WO2018115390A1","KEYGENE N.V."
"WO2018118586A1","Agenovir Corporation"
"WO2018119225A1","MONSANTO TECHNOLOGY LLC"
"WO2018123134A1","NATIONAL RESEARCH INSTITUTE OF BREWING"
"WO2018126259A1","UNIVERSITY OF TEXAS"
"WO2018129129A1","RUTGERS THE STATE UNIVERSITY OF NEW JERSEY"
"WO2018129199A1","NOVA SOUTHEASTERN UNIVERSITY"
"WO2018129226A1","VIRGINIA COMMONWEALTH UNIVERSITY"
"WO2018129296A1","UNIVERSITY OF TEXAS"
"WO2018129368A2","EDITAS MEDICINE INC"
"WO2018129440A1","UNIVERSITY OF MASSACHUSETTS"
"WO2018130830A1","OXFORD UNIVERSITY INNOVATION LIMITED"
"WO2018132409A1","THOENE Jess G."
"WO2018132939A1","INSTITUTE OF PROCESS ENGINEERING CHINESE ACADEMY OF SCIENCES"
"WO2018136783A1","UNIV CALIFORNIA"
"WO2018140899A1","INARI AGRICULTURE INC."
"WO2018142364A1","NOVARTIS AG"
"WO2018144535A1","NOVARTIS AG"
"WO2018154027A1","CANCER RESEARCH TECHNOLOGY LTD."
"WO2018154096A1","GEORG-AUGUST-UNIVERSITAT"
"WO2018154380A1","CRISPR THERAPEUTICS AG"
"WO2018154413A1","CRISPR THERAPEUTICS AG"
"WO2018154418A1","CRISPR THERAPEUTICS AG"
"WO2018154439A1","CRISPR THERAPEUTICS AG"
"WO2018165504A1","HARVARD COLLEGE"
"WO2018165631A1","HARVARD COLLEGE"
"WO2018169922A2","KITE PHARMA INC."
"WO2018170333A1","BROAD INSTITUTE INC"
"WO2018170515A1","BROAD INSTITUTE INC"
"WO2018183766A1","EDITAS MEDICINE INC"
"WO2018191388A1","ZHANG Feng"
"WO2018192961A1","SACK Markus"
"WO2018195313A1","GE HEALTHCARE BIO-SCIENCES CORP"
"WO2018195486A1","CHOUDHARY Amit"
"WO2018195555A1","STANFORD UNIVERSITY"
"WO2018195772A1","Sun Yat-sen University"
"WO2018197020A1","NOVOZYMES A/S"
"WO2018198049A1","CELLECTIS"
"WO2018200489A1","BRIGHAM & WOMENS HOSPITAL"
"WO2018201056A1","NOVARTIS AG"
"WO2018201086A1","EDITAS MEDICINE INC"
"WO2018201088A1","WASHINGTON UNIVERSITY"
"WO2018201144A1","PRECISION BIOSCIENCES INC."
"WO2018202800A1","KWS SAAT"
"WO2018203947A2","Zymergen Inc"
"WO2018204427A1","JUNO THERAPEUTICS INC."
"WO2018210992A1","IDORSIA PHARMACEUTICALS LTD"
"WO2018210994A1","IDORSIA PHARMACEUTICALS LTD"
"WO2018213476A1","Translate Bio Inc."
"WO2018219941A1","VILMORIN & CIE"
"WO2018220136A1","VILMORIN & CIE"
"WO2018220210A1","INSERM"
"WO2018220579A1","TROPIC BIOSCIENCES UK LIMITED"
"WO2018220581A1","TROPIC BIOSCIENCES UK LIMITED"
"WO2018220582A1","TROPIC BIOSCIENCES UK LIMITED"
