Publication Number, citing_applicant_first
"JP06332780B2","KOKUSAI DENKI TSUSHIN KISO GIJUTSU KENKY"
"EP3079726B1","BROAD INSTITUTE INC"
"WO2017023801A1","UNIVERSITY OF MINNESOTA"
"US9896516B2","Kymab Limited"
"EP2966170A1","Heinrich-Pette-Institut Leibniz-Institut für experimentelle Virologie-Stiftung bürgerlichen Rechts -"
"US9963716B2","Kymab Limited"
"US9447177B2","Kymab Limited"
"US9434782B2","Kymab Limited"
"US10149462B2","Kymab Limited"
"EP2877571B1","Kymab Limited"
"WO2016033246A1","CARIBOU BIOSCIENCES INC"
"WO2015200334A1","Regeneron Pharmaceuticals Inc"
"WO2015088643A1","Regeneron Pharmaceuticals Inc"
"GB2544001A","CARIBOU BIOSCIENCES INC"
"WO2015040402A1","Kymab Limited"
"WO2016161380A1","EDITAS MEDICINE INC"
"WO2016080399A1","KYOTO UNIVERSITY"
"WO2015026885A1","PIONEER HI-BRED INTERNATIONAL INC"
"EP3262162A4","VOYAGER THERAPEUTICS INC"
"WO2017093370A1","TECHNISCHE UNIVERSITÄT MÜNCHEN"
"WO2018078131A1","GENETHON"
"EP2971167A4","CARIBOU BIOSCIENCES INC"
"EP3177718A4","HARVARD COLLEGE"
"WO2016028682A1","BROAD INSTITUTE INC"
"WO2015089427A1","BROAD INSTITUTE INC"
"WO2015089462A1","BROAD INSTITUTE INC"
"WO2016054225A1","STC.UNM"
"US9737480B2","HARVARD COLLEGE"
"EP3169776A4","UNIV CALIFORNIA"
"EP2912175A4","TOOLGEN INC"
"CN105408483A","GE Corporation"
"EP3141604A1","SIGMA-ALDRICH CO LLC"
"EP3138912A1","SIGMA-ALDRICH CO LLC"
"EP3138911A1","SIGMA-ALDRICH CO LLC"
"EP3138910A1","SIGMA-ALDRICH CO LLC"
"EP3138909A1","SIGMA-ALDRICH CO LLC"
"EP3135765A1","SIGMA-ALDRICH CO LLC"
"EP2928496A4","SIGMA-ALDRICH CO LLC"
"EP3363902A1","SIGMA-ALDRICH CO LLC"
"EP3360964A1","SIGMA-ALDRICH CO LLC"
"EP3138910B1","SIGMA-ALDRICH CO LLC"
"EP2970986A4","GEN HOSPITAL CORP"
"WO2018080573A1","MIT"
"EP3138912B1","SIGMA-ALDRICH CO LLC"
"EP3138911B1","SIGMA-ALDRICH CO LLC"
"EP2912175B1","TOOLGEN INC"
"GB2537000B","UNIV CALIFORNIA"
"WO2016057961A1","EDITAS MEDICINE INC"
"GB2537000A","UNIV CALIFORNIA"
"EP3159407A1","SILENCE THERAPEUTICS"
"EP3241902A1","UNIV CALIFORNIA"
"EP3241902B1","UNIV CALIFORNIA"
"EP2800811A4","UNIV CALIFORNIA"
"EP3401400A1","UNIV CALIFORNIA"
"US9409139B2","Twist Bioscience"
"US9403141B2","Twist Bioscience"
"US10053688B2","Twist Bioscience"
"US10081807B2","Gen9 Inc."
"US9677067B2","Twist Bioscience"
"KR1785847B1","UNIV YONSEI"
"US9555388B2","Twist Bioscience"
"EP3004349B1","CELLECTIS"
"WO2016070037A3","MIT"
"US9889423B2","Twist Bioscience"
"US9895673B2","Twist Bioscience"
"EP3004349A1","CELLECTIS"
"US9981239B2","Twist Bioscience"
"US9839894B2","Twist Bioscience"
"US9833761B2","Twist Bioscience"
"WO2016007604A1","Gen9 Inc."
"WO2017044776A1","UNIV TEXAS TECH"
"EP3178935A4","TOOLGEN INC"
"EP3158066A4","GEN HOSPITAL CORP"
"EP3140403A4","UNIV LAVAL"
"EP2982758A1","Centre Hospitalier Universitaire Vaudois"
"US9988674B2","General Hospital Corporation"
"US9850484B2","General Hospital Corporation"
"WO2016020399A1","Centre Hospitalier Universitaire Vaudois"
"WO2015200378A1","General Hospital Corporation"
"WO2017062723A1","HARVARD COLLEGE"
"US9822407B2","General Hospital Corporation"
"CN104504304B","Shenzhen Institutes of Advanced Technology"
"CN104504304A","Shenzhen Institutes of Advanced Technology"
"WO2016201155A1","CARIBOU BIOSCIENCES INC"
"EP3227447A4","AGILENT TECHNOLOGIES INC"
"WO2017096328A1","CARIBOU BIOSCIENCES INC"
"RU2652899C1","FEDERALNOE BYUDZHETNOE UCHREZHDENIE NAUKI TSENTRALNYJ NAUCHNO ISSLEDOVATELSKIJ INST EPIDEMIOLOGII FE"
"CN104195177A","Nanjing University"
"WO2016123230A1","PIONEER HI-BRED INTERNATIONAL INC"
"GB2518764A","UNIV CALIFORNIA"
"GB2518764B","UNIV CALIFORNIA"
"JP06423338B2","UNIV VILNIUS"
"WO2015200555A3","CARIBOU BIOSCIENCES INC"
"GB2550745A","PIONEER HI-BRED INTERNATIONAL INC"
"WO2016154493A1","STANFORD UNIVERSITY"
"WO2018175636A3","NOVARTIS AG"
"WO2017015637A1","DUKE UNIVERSITY"
"WO2016130697A1","MEMORIAL SLOAN KETTERING CANCER CENTER"
"WO2016186772A3","GENZYME CORPORATION"
"WO2017131926A1","CEDARS-SINAI MEDICAL CENTER"
"WO2018172556A1","CUREVAC AG"
"WO2017053431A3","ARCTURUS THERAPEUTICS INC."
"WO2017023974A1","HARVARD COLLEGE"
"US20160139124A1","BLOODCENTER RESEARCH FOUNDATON"
"WO2016138574A1","SINAI HEALTH SYSTEM"
"WO2016150336A1","NATIONAL CENTER FOR NANOSCIENCE AND TECHNOLOGY"
"WO2017104404A1","JAPAN SCIENCE AND TECHNOLOGY AGENCY"
"WO2018129129A1","UNIV RUTGERS"
"EP3346003A1","TOOLGEN INC"
"WO2017216771A3","GENESIS TECHNOLOGIES LIMITED"
"US20160068887A1","CARIBOU BIOSCIENCES INC"
"EP3372679A1","TOOLGEN INC"
"WO2017081288A1","LONZA LTD"
"EP3024964A4","HARVARD COLLEGE"
"WO2016137949A1","VOYAGER THERAPEUTICS INC"
"WO2016197133A1","PROTIVA BIOTHERAPEUTICS INC."
"WO2016197132A1","PROTIVA BIOTHERAPEUTICS INC."
"WO2016205623A1","NORTH CAROLINA STATE UNIVERSITY"
"WO2016196308A1","Agenovir Corporation"
"WO2017126987A1","ZAZULIA Anatoly Viktorovich"
"WO2017123609A1","UNIV CALIFORNIA"
"WO2016176191A1","UNIVERSITY OF PENNSYLVANIA"
"WO2016176690A3","COLUMBIA UNIVERSITY"
"WO2017147555A1","LANZATECH NEW ZEALAND LIMITED"
"WO2017147278A1","CHILDREN'S MEDICAL CENTER CORPORATION"
"WO2018154380A1","CRISPR THERAPEUTICS AG"
"WO2017197238A1","HARVARD COLLEGE"
"WO2018119182A1","INTELLIA THERAPEUTICS INC."
"WO2017173054A1","INTELLIA THERAPEUTICS INC."
"WO2017165862A1","EDITAS MEDICINE INC"
"WO2016196361A1","NORTH CAROLINA STATE UNIVERSITY"
"CN107099850B","Northeast Agricultural University"
"CN107099850A","Northeast Agricultural University"
"CN105274095A","Qingdao Livestock Veterinarian Research Institution"
"KR1710026B1","MOOGENE MEDI CO. LTD."
"KR1796036B1","MOOGENE MEDI CO. LTD."
"WO2017186550A1","BASF PLANT SCIENCE COMPANY GMBH"
"WO2017031232A1","MODERNATX INC."
"CN104611368A","Guangzhou Institute of Biomedicine And Health Chinese Academy of Science"
"WO2017048466A1","UNIV CALIFORNIA"
